OrderID,Date,Region,ProductCategory,Product,Quantity,UnitPrice,UnitCost,Revenue,Profit
ORD-00417,2023-01-01,South,Electronics,Smartphone,6,655.79,417.17,3934.74,1431.72
ORD-00747,2023-01-01,West,Clothing,Jacket,4,122.51,68.36,490.04,216.6
ORD-01023,2023-01-01,South,Furniture,Bookshelf,6,514.36,301.22,3086.16,1278.84
ORD-01971,2023-01-01,East,Clothing,Shoes,4,110.45,60.73,441.8,198.88
ORD-01256,2023-01-02,East,Electronics,Monitor,4,504.95,354.04,2019.8,603.64
ORD-02039,2023-01-02,East,Furniture,Bookshelf,2,457.46,278.68,914.92,357.56
ORD-02146,2023-01-02,North,Furniture,Cabinet,1,540.42,317.07,540.42,223.35
ORD-00921,2023-01-04,East,Electronics,Laptop,3,476.45,307.76,1429.35,506.07
ORD-01490,2023-01-04,East,Furniture,Desk,5,464.64,253.07,2323.2,1057.85
ORD-01926,2023-01-04,East,Clothing,Backpack,5,85.93,49.07,429.65,184.3
ORD-02232,2023-01-04,West,Furniture,Desk,8,213.29,121.49,1706.32,734.4
ORD-02265,2023-01-04,East,Electronics,Laptop,1,1011.86,690.02,1011.86,321.84
ORD-01815,2023-01-05,North,Electronics,Laptop,4,949.24,630.88,3796.96,1273.44
ORD-00933,2023-01-07,West,Electronics,Monitor,1,913.58,575.54,913.58,338.04
ORD-01662,2023-01-08,North,Electronics,Smartphone,4,641.46,405.7,2565.84,943.04
ORD-01997,2023-01-09,North,Clothing,Backpack,6,53.39,29.85,320.34,141.24
ORD-00988,2023-01-10,East,Furniture,Desk,4,460.91,273.57,1843.64,749.36
ORD-01078,2023-01-10,East,Office Supplies,Pen Set,1,48.58,23.27,48.58,25.31
ORD-02332,2023-01-11,South,Furniture,Desk,3,237.47,132.57,712.41,314.7
ORD-01523,2023-01-12,West,Electronics,Laptop,4,1164.78,713.73,4659.12,1804.2
ORD-01964,2023-01-13,East,Office Supplies,Notebook,6,18.81,8.48,112.86,61.98
ORD-00600,2023-01-14,East,Furniture,Bookshelf,3,330.86,212.88,992.58,353.94
ORD-01907,2023-01-14,East,Office Supplies,Printer Paper,1,34.43,14.77,34.43,19.66
ORD-02595,2023-01-14,West,Office Supplies,Printer Paper,7,45.7,21.03,319.9,172.69
ORD-00082,2023-01-15,West,Furniture,Cabinet,8,560.94,345.69,4487.52,1722.0
ORD-01272,2023-01-15,South,Electronics,Smartphone,5,756.42,477.34,3782.1,1395.4
ORD-00646,2023-01-16,South,Furniture,Office Chair,6,371.73,229.23,2230.38,855.0
ORD-00813,2023-01-17,West,Clothing,T-Shirt,3,74.46,39.33,223.38,105.39
ORD-00628,2023-01-18,East,Furniture,Cabinet,1,575.22,342.63,575.22,232.59
ORD-01111,2023-01-18,North,Electronics,Smartphone,5,747.85,464.4,3739.25,1417.25
ORD-02172,2023-01-18,East,Clothing,Jacket,3,106.81,54.49,320.43,156.96
ORD-00817,2023-01-19,North,Electronics,Monitor,1,1059.18,755.86,1059.18,303.32
ORD-01386,2023-01-19,East,Electronics,Laptop,7,431.49,282.02,3020.43,1046.29
ORD-01672,2023-01-19,West,Furniture,Office Chair,2,328.2,214.47,656.4,227.46
ORD-01674,2023-01-19,South,Office Supplies,Notebook,3,18.32,8.82,54.96,28.5
ORD-01804,2023-01-19,South,Electronics,Smartphone,5,674.87,436.22,3374.35,1193.25
ORD-02194,2023-01-19,East,Furniture,Bookshelf,4,508.75,288.41,2035.0,881.36
ORD-02356,2023-01-19,North,Office Supplies,Notebook,3,24.9,11.42,74.7,40.44
ORD-02365,2023-01-19,North,Electronics,Monitor,1,685.93,424.02,685.93,261.91
ORD-00537,2023-01-20,North,Furniture,Office Chair,2,482.29,294.33,964.58,375.92
ORD-01365,2023-01-20,West,Electronics,Monitor,5,906.27,610.43,4531.35,1479.2
ORD-02252,2023-01-20,North,Electronics,Headphones,7,1165.76,768.93,8160.32,2777.81
ORD-00678,2023-01-22,North,Electronics,Headphones,5,574.24,427.83,2871.2,732.05
ORD-00781,2023-01-22,West,Furniture,Office Chair,5,550.23,341.01,2751.15,1046.1
ORD-00480,2023-01-23,East,Clothing,T-Shirt,3,111.07,58.79,333.21,156.84
ORD-00891,2023-01-23,East,Furniture,Cabinet,5,410.13,265.83,2050.65,721.5
ORD-01781,2023-01-23,North,Furniture,Cabinet,8,300.47,184.47,2403.76,928.0
