OrderID,Date,Region,Category,Product,Quantity,Sales,Profit
ORD-00469,2023-01-01,South,Technology,Laptops,4,2959.95,981.31
ORD-01285,2023-01-01,South,Technology,Phones,3,1842.04,553.31
ORD-01739,2023-01-01,South,Technology,Laptops,9,3370.61,1018.14
ORD-01932,2023-01-01,East,Office Supplies,Art Supplies,7,132.84,68.02
ORD-01624,2023-01-02,South,Office Supplies,Binders,4,85.52,49.27
ORD-00840,2023-01-03,East,Technology,Phones,9,3313.82,970.15
ORD-00232,2023-01-04,East,Furniture,Chairs,5,1299.12,383.61
ORD-00318,2023-01-04,South,Technology,Phones,6,3158.51,738.58
ORD-00556,2023-01-04,West,Technology,Accessories,9,4106.38,1349.57
ORD-00721,2023-01-04,South,Technology,Accessories,8,3741.41,788.79
ORD-01747,2023-01-04,West,Office Supplies,Art Supplies,2,84.09,48.2
ORD-00356,2023-01-06,West,Technology,Accessories,4,3473.35,1151.32
ORD-00684,2023-01-06,Central,Technology,Accessories,7,6787.41,2368.43
ORD-01507,2023-01-06,West,Office Supplies,Paper,5,81.4,42.01
ORD-01245,2023-01-08,Central,Technology,Accessories,4,3264.13,1039.07
ORD-01385,2023-01-08,Central,Office Supplies,Art Supplies,4,165.93,87.92
ORD-00566,2023-01-09,West,Technology,Phones,6,5776.1,1675.49
ORD-00265,2023-01-10,East,Technology,Phones,4,2571.38,579.75
ORD-00454,2023-01-10,East,Technology,Laptops,9,4587.6,1201.6
ORD-00481,2023-01-12,South,Furniture,Chairs,4,1585.45,618.99
ORD-00546,2023-01-13,West,Technology,Laptops,5,3792.96,1306.37
ORD-00548,2023-01-13,Central,Office Supplies,Paper,4,168.22,101.65
ORD-00628,2023-01-13,South,Furniture,Bookcases,1,418.13,170.12
ORD-00340,2023-01-14,Central,Technology,Laptops,6,3097.45,967.08
ORD-00969,2023-01-14,West,Technology,Accessories,2,1548.13,403.74
ORD-01228,2023-01-14,East,Technology,Laptops,8,3669.09,773.3
ORD-00445,2023-01-15,West,Technology,Accessories,2,1609.08,515.78
