order_id,order_date,month,region,category,segment,customer_id,units,unit_price,discount_pct,revenue,cost,profit,margin_pct,is_new_customer
ORD-1000,2025-01-01,1,South,Sports,Premium,C0673,8,178.42,6.5,1334.58,856.42,478.16,35.8,1
ORD-1001,2025-01-01,1,South,Home,Regular,C0523,4,74.34,10.9,264.95,184.36,80.59,30.4,1
ORD-1002,2025-01-01,1,East,Sports,Basic,C0015,3,52.26,9.4,142.04,94.07,47.97,33.8,1
ORD-1003,2025-01-01,1,South,Home,Regular,C0309,3,121.55,13.4,315.79,226.08,89.71,28.4,1
ORD-1004,2025-01-01,1,South,Apparel,Regular,C0523,2,43.03,17.4,71.09,47.33,23.76,33.4,0
ORD-1005,2025-01-01,1,South,Grocery,Regular,C0688,3,40.39,14.3,103.84,96.94,6.9,6.6,1
ORD-1006,2025-01-01,1,West,Grocery,Basic,C0682,3,31.47,9.7,85.25,75.53,9.72,11.4,1
ORD-1007,2025-01-01,1,West,Sports,Regular,C0324,1,125.94,6,118.38,75.56,42.82,36.2,1
ORD-1008,2025-01-02,1,East,Electronics,Basic,C0281,1,312.64,6.8,291.38,231.35,60.03,20.6,1
ORD-1009,2025-01-02,1,North,Grocery,Basic,C0667,2,54.05,8.1,99.34,86.48,12.86,12.9,1
ORD-1010,2025-01-02,1,East,Home,Regular,C0899,1,176.93,8,162.78,109.7,53.08,32.6,1
ORD-1011,2025-01-02,1,North,Sports,Basic,C0895,1,134.01,5.3,126.91,80.41,46.5,36.6,1
ORD-1012,2025-01-03,1,North,Home,Regular,C0210,2,189.07,7.4,350.16,234.45,115.71,33,1
ORD-1013,2025-01-03,1,South,Home,Regular,C0675,3,160.17,10.5,430.06,297.92,132.14,30.7,1
ORD-1014,2025-01-03,1,East,Sports,Basic,C0754,2,44.72,9.4,81.03,53.66,27.37,33.8,1
ORD-1015,2025-01-03,1,West,Sports,Basic,C0655,1,155.05,8.6,141.72,93.03,48.69,34.4,1
ORD-1016,2025-01-03,1,East,Apparel,Basic,C0310,3,103.07,11.7,273.03,170.07,102.96,37.7,1
ORD-1017,2025-01-04,1,South,Apparel,Basic,C0646,2,39.57,12.6,69.17,43.53,25.64,37.1,1
ORD-1018,2025-01-04,1,South,Apparel,Basic,C0308,3,71.9,15.8,181.62,118.64,62.98,34.7,1
ORD-1019,2025-01-04,1,North,Grocery,Regular,C0630,2,12.7,9.3,23.04,20.32,2.72,11.8,1
ORD-1020,2025-01-04,1,East,Apparel,Basic,C0370,1,94.18,13,81.94,51.8,30.14,36.8,1
ORD-1021,2025-01-04,1,South,Electronics,Regular,C0859,3,393.17,14.6,1007.3,872.84,134.46,13.3,1
ORD-1022,2025-01-04,1,North,Electronics,Premium,C0900,3,540.42,0,1621.26,1199.73,421.53,26,1
ORD-1023,2025-01-04,1,East,Apparel,Basic,C0806,3,106.32,10.4,285.79,175.43,110.36,38.6,1
ORD-1024,2025-01-04,1,North,Grocery,Regular,C0659,4,28.43,7.2,105.53,90.98,14.55,13.8,1
ORD-1025,2025-01-04,1,South,Apparel,Premium,C0882,5,114.97,11,511.62,316.17,195.45,38.2,1
ORD-1026,2025-01-05,1,East,Apparel,Regular,C0115,3,134.02,7.2,373.11,221.13,151.98,40.7,1
ORD-1027,2025-01-05,1,East,Sports,Basic,C0329,2,32.22,4.2,61.73,38.66,23.07,37.4,1
ORD-1028,2025-01-05,1,West,Electronics,Basic,C0287,3,398.82,8.3,1097.15,885.38,211.77,19.3,1
ORD-1029,2025-01-05,1,South,Home,Basic,C0656,2,147.9,11.1,262.97,183.4,79.57,30.3,1
ORD-1030,2025-01-05,1,North,Apparel,Basic,C0006,2,93.21,9,169.64,102.53,67.11,39.6,1
ORD-1031,2025-01-05,1,West,Electronics,Regular,C0047,1,450.7,5.8,424.56,333.52,91.04,21.4,1
ORD-1032,2025-01-05,1,South,Apparel,Basic,C0620,1,63.12,13.4,54.66,34.72,19.94,36.5,1
ORD-1033,2025-01-05,1,West,Apparel,Basic,C0463,1,106.2,8.1,97.6,58.41,39.19,40.2,1
ORD-1034,2025-01-05,1,East,Grocery,Basic,C0370,1,36.83,5.5,34.8,29.46,5.34,15.3,0
ORD-1035,2025-01-06,1,South,Grocery,Regular,C0372,1,31.2,14.8,26.58,24.96,1.62,6.1,1
ORD-1036,2025-01-06,1,North,Electronics,Premium,C0240,8,273.97,2.5,2136.97,1621.9,515.07,24.1,1
ORD-1037,2025-01-06,1,South,Sports,Basic,C0349,1,40.01,14.6,34.17,24.01,10.16,29.7,1
ORD-1038,2025-01-07,1,North,Home,Basic,C0420,2,102.28,9.4,185.33,126.83,58.5,31.6,1
ORD-1039,2025-01-07,1,East,Electronics,Regular,C0430,4,200.6,4.7,764.69,593.78,170.91,22.4,1
ORD-1040,2025-01-07,1,East,Sports,Regular,C0055,1,154.39,8.2,141.73,92.63,49.1,34.6,1
ORD-1041,2025-01-07,1,South,Grocery,Basic,C0447,2,38.5,10.9,68.61,61.6,7.01,10.2,1
ORD-1042,2025-01-07,1,South,Home,Regular,C0574,3,158.1,13.4,410.74,294.07,116.67,28.4,1
ORD-1043,2025-01-07,1,North,Home,Regular,C0328,4,83.27,5.2,315.76,206.51,109.25,34.6,1
ORD-1044,2025-01-08,1,South,Electronics,Basic,C0307,2,412.31,10.7,736.39,610.22,126.17,17.1,1
ORD-1045,2025-01-08,1,West,Grocery,Regular,C0897,3,47.07,6.5,132.03,112.97,19.06,14.4,1
ORD-1046,2025-01-08,1,East,Home,Basic,C0736,3,129.11,7.8,357.12,240.14,116.98,32.8,1
ORD-1047,2025-01-08,1,North,Home,Regular,C0691,3,183.25,7.1,510.72,340.84,169.88,33.3,1
ORD-1048,2025-01-08,1,East,Home,Basic,C0442,2,140.6,5.9,264.61,174.34,90.27,34.1,1
ORD-1049,2025-01-08,1,East,Home,Premium,C0831,6,284.51,0,1707.06,1058.38,648.68,38,1
ORD-1050,2025-01-09,1,North,Grocery,Regular,C0549,1,21.68,5.8,20.42,17.34,3.08,15.1,1
